"Region","State_Density","Census_Population_Over_60","Covid_Positive_4_4","Covid_Death_4_4","Covid_Hospitalized_Cumulative_4_4","Covid_ICU_Cumulative_4_4","Covid_Total_Test_Results"
"Alabama",97,1149135,1580,43,212,NA,10853
"Alaska",1,134012,171,5,16,NA,6040
"Arizona",65,1695429,2019,52,297,104,27160
"Arkansas",58,695572,743,14,NA,NA,10370
"California",256,7963713,12026,276,NA,NA,113700
"Colorado",56,1156858,4173,111,823,NA,22071
"Connecticut",736,865770,5276,165,NA,NA,22029
"Delaware",504,248295,593,14,NA,NA,6467
"District of Columbia",11815,118779,902,21,NA,NA,6438
"Florida",410,5765648,11111,191,1462,NA,102067
"Georgia",288,2070692,6160,201,1239,NA,26294
"Hawaii",220,355338,319,3,18,6,12278
"Idaho",22,382826,1013,10,62,8,8870
"Illinois",228,2804799,10357,243,NA,NA,53581
"Indiana",188,1477824,3953,116,NA,NA,19800
"Iowa",57,743615,786,14,153,NA,10240
"Kansas",36,645949,698,21,172,NA,7578
"Kentucky",114,1026703,831,37,NA,NA,15572
"Louisiana",108,1019862,12496,409,NA,NA,58498
"Maine",44,384322,456,10,83,NA,6544
"Maryland",627,1324920,3125,53,821,NA,25610
"Massachusetts",894,1588116,11736,216,1068,NA,68800
"Michigan",178,2421416,14225,540,NA,NA,26118
"Minnesota",72,1243961,865,24,180,69,25423
"Mississippi",64,667073,1455,35,436,NA,6588
"Missouri",90,1448367,2291,24,NA,NA,24905
"Montana",7,279971,265,5,24,NA,6177
"Nebraska",25,423109,321,6,NA,NA,5379
"Nevada",29,661507,1742,46,NA,NA,16163
"New Hampshire",153,346662,540,7,80,NA,7505
"New Jersey",1215,2022272,34124,846,NA,NA,75356
"New Mexico",17,504653,495,10,NA,NA,15632
"New York",413,4480458,113704,3565,26383,NA,283621
"North Carolina",218,2353499,2402,24,259,NA,38773
"North Dakota",11,162220,186,3,30,NA,6207
"Ohio",288,2792679,3739,102,1006,326,41871
"Oklahoma",58,857599,1159,42,316,NA,2521
"Oregon",45,1016180,899,22,204,NA,17434
"Pennsylvania",287,3227151,10017,136,1004,NA,70030
"Rhode Island",1021,257992,806,17,93,31,6390
"South Carolina",173,1228275,1917,40,241,NA,18314
"South Dakota",12,205307,212,2,19,NA,5224
"Tennessee",167,1550510,3321,43,311,NA,41391
"Texas",113,5139025,6110,105,196,NA,63751
"Utah",40,499149,1428,8,117,NA,28043
"Vermont",68,172909,461,20,45,NA,5844
"Virginia",218,1847250,2407,52,390,145,21552
"Washington",117,1636420,6966,284,NA,NA,82599
"West Virginia",74,492418,282,2,NA,NA,7686
"Wisconsin",108,1391738,2112,56,588,NA,25971
"Wyoming",6,137988,187,0,23,NA,3132
