"","REGION","Area","CENSUS_2010_TOTAL_POPULATION","CENSUS_2010_STATE_DENSITY","X2020_STATE_DENSITY","Covid_Positive_4_4","Covid_Pending_4_4","Covid_Death_4_4","Covid_Score_4_4","HOUSEHOLD_UNITS","UNITS_IN_STRUCTURE_5_to_9_apartments","UNITS_IN_STRUCTURE_10_or_more_apartments","OCCUPANTS_PER_ROOM_1.0_To_1.50","OCCUPANTS_PER_ROOM_1.51_Plus","FAMILY_HOUSEHOLDS_Householder_65_Plus","NONFAMILY_Householder_Living_Alone_65_Plus","Kaiser_Beds_per_1000_Population","Kaiser_CHC_Service_Delivery_Sites","Kaiser_Total_CHCs","Kaiser_Total_Hospital_Beds"
"1","Alabama","South",4779736,94.4,97,1580,NA,43,3,1855184,76182,117446,21718,11238,231121,215966,3.13,144,15,15278
"2","Alaska","West",710231,1.2,1,171,NA,5,4,254551,10880,19475,9989,6653,23151,20618,2.23,193,27,1636
"3","Arizona","West",6392017,56.3,65,2019,NA,52,3,2614298,104610,308728,79746,38372,361862,295472,1.93,188,20,13846
"4","Arkansas","South",2915918,56,58,743,NA,14,4,1156347,36706,78543,22084,11351,144001,129177,3.16,142,12,9517
"5","California","West",37253956,239.1,256,12026,13000,276,3,13072122,799663,2274912,690380,390607,1409512,1249751,1.84,1740,177,72511
"6","Colorado","West",5029196,48.5,56,4173,NA,111,4,2176757,95460,360530,36941,17404,229059,211903,1.86,215,20,10574
"7","Connecticut","Northeast",3574097,738.1,736,5276,NA,165,4,1378091,72985,168854,18899,6991,158593,168018,2.01,290,16,7194
"8","Delaware","South",897934,460.8,504,593,NA,14,4,367671,11967,36880,5138,1698,52762,40163,2.18,17,3,2101
"9","District of Columbia","South",601723,9856.5,11815,902,NA,21,4,287476,23720,129657,4506,4747,13335,33166,4.44,66,8,3114
"10","Florida","South",18801310,350.6,410,11111,1281,191,4,7809358,375828,1331039,163452,74205,1152542,1026882,2.58,610,47,54744
"11","Georgia","South",9687653,168.4,288,6160,NA,201,4,3803012,157575,423375,65313,21011,388993,364633,2.39,265,35,25114
"12","Hawaii","West",1360301,211.8,220,319,NA,3,4,455309,27233,99232,23115,16175,63790,48941,1.94,73,14,2749
