"","REGION","Area","CENSUS_2010_TOTAL_POPULATION","CENSUS_2010_STATE_DENSITY","X2020_STATE_DENSITY","Covid_Positive_4_4","Covid_Pending_4_4","Covid_Death_4_4","Covid_Score_4_4","FLUVIEW_TOTAL_INFLUENZA_DEATHS_Season_2018","FLUVIEW_TOTAL_PNEUMONIA_DEATHS_Season_2018","Fluview_US_FLU_Hospitalization_Rate_Asthma","Fluview_US_FLU_Hospitalization_Rate_Lung_Disease","Fluview_US_FLU_Hospitalization_Rate_Heart_Disease","Fluview_US_FLU_Hospitalization_Rate_Metabolic_Disorders","Fluview_US_FLU_Hospitalization_Rate_Obesity","Fluview_US_FLU_Hospitalization_Rate_Kidney_Disease","Kaiser_Beds_per_1000_Population","Kaiser_CHC_Service_Delivery_Sites","Kaiser_Total_CHCs","Kaiser_Total_Hospital_Beds"
"1","Alabama","South",4779736,94.4,97,1580,NA,43,3,94,2863,0.194,0.295,0.513,0.448,0.361,0.216,3.13,144,15,15278
"2","Alaska","West",710231,1.2,1,171,NA,5,4,19,221,0.194,0.295,0.513,0.448,0.361,0.216,2.23,193,27,1636
"3","Arizona","West",6392017,56.3,65,2019,NA,52,3,116,3425,0.194,0.295,0.513,0.448,0.361,0.216,1.93,188,20,13846
"4","Arkansas","South",2915918,56,58,743,NA,14,4,107,2091,0.194,0.295,0.513,0.448,0.361,0.216,3.16,142,12,9517
"5","California","West",37253956,239.1,256,12026,13000,276,3,631,18179,0.194,0.295,0.513,0.448,0.361,0.216,1.84,1740,177,72511
"6","Colorado","West",5029196,48.5,56,4173,NA,111,4,151,2056,0.194,0.295,0.513,0.448,0.361,0.216,1.86,215,20,10574
"7","Connecticut","Northeast",3574097,738.1,736,5276,NA,165,4,90,1917,0.194,0.295,0.513,0.448,0.361,0.216,2.01,290,16,7194
"8","Delaware","South",897934,460.8,504,593,NA,14,4,23,464,0.194,0.295,0.513,0.448,0.361,0.216,2.18,17,3,2101
"9","District of Columbia","South",601723,9856.5,11815,902,NA,21,4,8,273,0.194,0.295,0.513,0.448,0.361,0.216,4.44,66,8,3114
"10","Florida","South",18801310,350.6,410,11111,1281,191,4,341,10939,0.194,0.295,0.513,0.448,0.361,0.216,2.58,610,47,54744
"11","Georgia","South",9687653,168.4,288,6160,NA,201,4,113,4024,0.194,0.295,0.513,0.448,0.361,0.216,2.39,265,35,25114
"12","Hawaii","West",1360301,211.8,220,319,NA,3,4,38,922,0.194,0.295,0.513,0.448,0.361,0.216,1.94,73,14,2749
"13","Idaho","West",1567582,19,22,1013,NA,10,4,66,627,0.194,0.295,0.513,0.448,0.361,0.216,1.94,115,14,3396
"14","Illinois","Midwest",12830632,231.1,228,10357,NA,243,4,205,6277,0.194,0.295,0.513,0.448,0.361,0.216,2.52,402,44,32066
"15","Indiana","Midwest",6483802,181,188,3953,NA,116,3,179,4065,0.194,0.295,0.513,0.448,0.361,0.216,2.71,197,25,18156
"16","Iowa","Midwest",3046355,54.5,57,786,NA,14,4,98,1884,0.194,0.295,0.513,0.448,0.361,0.216,2.99,80,14,9423
"17","Kansas","Midwest",2853118,34.9,36,698,NA,21,3,97,1623,0.194,0.295,0.513,0.448,0.361,0.216,3.32,91,18,9659
"18","Kentucky","South",4339367,109.9,114,831,NA,37,4,166,3603,0.194,0.295,0.513,0.448,0.361,0.216,3.21,324,24,14329
"19","Louisiana","South",4533372,104.9,108,12496,NA,409,4,64,1900,0.194,0.295,0.513,0.448,0.361,0.216,3.28,287,34,15272
"20","Maine","Northeast",1328361,43.1,44,456,NA,10,4,52,1187,0.194,0.295,0.513,0.448,0.361,0.216,2.54,156,18,3400
"21","Maryland","South",5773552,594.8,627,3125,NA,53,4,100,3141,0.194,0.295,0.513,0.448,0.361,0.216,1.92,129,17,11577
"22","Massachusetts","Northeast",6547629,839.4,894,11736,NA,216,3,180,3993,0.194,0.295,0.513,0.448,0.361,0.216,2.27,276,39,15649
"23","Michigan","Midwest",9883640,174.8,178,14225,NA,540,3,238,5350,0.194,0.295,0.513,0.448,0.361,0.216,2.5,302,38,24949
"24","Minnesota","Midwest",5303925,66.6,72,865,NA,24,4,94,2764,0.194,0.295,0.513,0.448,0.361,0.216,2.48,87,16,13895
"25","Mississippi","South",2967297,63.2,64,1455,NA,35,3,48,2227,0.194,0.295,0.513,0.448,0.361,0.216,4.05,227,20,12071
"26","Missouri","Midwest",5988927,87.1,90,2291,NA,24,4,132,3392,0.194,0.295,0.513,0.448,0.361,0.216,3.06,270,29,18749
"27","Montana","West",989415,6.8,7,265,NA,5,4,36,510,0.194,0.295,0.513,0.448,0.361,0.216,3.34,65,14,3542
"28","Nebraska","Midwest",1826341,23.8,25,321,10,6,4,87,1119,0.194,0.295,0.513,0.448,0.361,0.216,3.55,45,7,6842
"29","Nevada","West",2700551,24.6,29,1742,NA,46,4,43,1456,0.194,0.295,0.513,0.448,0.361,0.216,2.14,45,7,6493
"30","New Hampshire","Northeast",1316470,147,153,540,94,7,3,47,704,0.194,0.295,0.513,0.448,0.361,0.216,2.06,43,10,2783
"31","New Jersey","Northeast",8791894,1195.5,1215,34124,NA,846,4,146,3951,0.194,0.295,0.513,0.448,0.361,0.216,2.35,129,23,20901
"32","New Mexico","West",2059179,17,17,495,NA,10,4,63,1050,0.194,0.295,0.513,0.448,0.361,0.216,1.82,212,17,3811
"33","New York","Northeast",19378102,411.2,413,113704,NA,3565,4,280,7895,0.194,0.295,0.513,0.448,0.361,0.216,2.66,760,62,51927
"34","North Carolina","South",9535483,196.1,218,2402,NA,24,4,272,5566,0.194,0.295,0.513,0.448,0.361,0.216,2.08,264,40,21549
"35","North Dakota","Midwest",672591,9.7,11,186,NA,3,3,20,460,0.194,0.295,0.513,0.448,0.361,0.216,4.27,26,4,3235
"36","Ohio","Midwest",11536504,282.3,288,3739,NA,102,3,284,6088,0.194,0.295,0.513,0.448,0.361,0.216,2.84,304,47,33157
"37","Oklahoma","South",3751351,54.7,58,1159,NA,42,3,135,3256,0.194,0.295,0.513,0.448,0.361,0.216,2.83,99,20,11144
"38","Oregon","West",3831074,39.9,45,899,NA,22,4,200,1645,0.194,0.295,0.513,0.448,0.361,0.216,1.65,232,30,6889
"39","Pennsylvania","Northeast",12702379,283.9,287,10017,NA,136,4,361,7044,0.194,0.295,0.513,0.448,0.361,0.216,2.87,306,43,36730
"40","Rhode Island","Northeast",1052567,1018.1,1021,806,NA,17,3,46,622,0.194,0.295,0.513,0.448,0.361,0.216,2.07,52,8,2187
"41","South Carolina","South",4625364,153.9,173,1917,NA,40,3,138,2885,0.194,0.295,0.513,0.448,0.361,0.216,2.38,200,23,12120
"42","South Dakota","Midwest",814180,10.7,12,212,1,2,4,39,627,0.194,0.295,0.513,0.448,0.361,0.216,4.76,48,4,4183
"43","Tennessee","South",6346105,153.9,167,3321,NA,43,4,165,4521,0.194,0.295,0.513,0.448,0.361,0.216,2.86,207,29,19387
"44","Texas","South",25145561,96.3,113,6110,NA,105,4,448,12967,0.194,0.295,0.513,0.448,0.361,0.216,2.29,537,72,65671
"45","Utah","West",2763885,33.6,40,1428,NA,8,4,63,1022,0.194,0.295,0.513,0.448,0.361,0.216,1.83,60,13,5767
"46","Vermont","Northeast",625741,67.9,68,461,NA,20,4,35,291,0.194,0.295,0.513,0.448,0.361,0.216,2.09,72,11,1305
"47","Virginia","South",8001024,202.6,218,2407,NA,52,4,181,3334,0.194,0.295,0.513,0.448,0.361,0.216,2.12,166,26,18065
"48","Washington","West",6724540,101.2,117,6966,NA,284,4,292,3252,0.194,0.295,0.513,0.448,0.361,0.216,1.7,349,27,12774
"49","West Virginia","South",1852994,77.1,74,282,NA,2,3,65,1584,0.194,0.295,0.513,0.448,0.361,0.216,3.81,342,27,6868
"50","Wisconsin","Midwest",5686986,105,108,2112,NA,56,4,126,2675,0.194,0.295,0.513,0.448,0.361,0.216,2.08,143,17,12103
"51","Wyoming","West",563626,5.8,6,187,NA,0,4,22,298,0.194,0.295,0.513,0.448,0.361,0.216,3.49,14,6,2015
