"NTD ID","Agency Name","Time Period","num_trips","passenger_miles"
"0R01-00288","City of Moscow","Annual Total",4023,0
"0R01-00291","Northwestern Stagelines Inc","Annual Total",9605,0
"0R01-00304","Salt Lake Express","Annual Total",77135,0
"0R01-00306","Marsing Senior Center","Annual Total",174,0
"0R01-00311","Mountain Rides Transportation Authority","Annual Total",536583,0
"0R01-00341","Selkirks-Pend Oreille Transit Authority (SPOT)","Annual Total",69822,0
"0R01-00342","Valley Vista Care Corporation","Annual Total",15772,0
"0R01-00347","SMART Transit","Annual Total",155568,0
"0R01-00357","TransIV Buses - College of Southern Idaho","Annual Total",19938,0
"0R01-00402","City of Driggs","Annual Total",33965,0
"0R01-00403","Lemhi Ride","Annual Total",13434,0
"0R01-00404","Shoshone County","Annual Total",17561,0
"0R01-80188","Southern Teton Area Rapid Transit","Annual Total",33696,0
"0R02-00290","City of Cottage Grove","Annual Total",11065,0
"0R02-00296","Tillamook County Transportation District","Annual Total",139277,0
"0R02-00300","City of Silverton","Annual Total",7604,0
"0R02-00301","South Clackamas Transportation District","Annual Total",90996,0
"0R02-00307","Coos County Area Transit","Annual Total",44144,0
"0R02-00308","Curry County Public Transit Service District","Annual Total",29533,0
"0R02-00310","Lincoln County Transportation Service District","Annual Total",321833,0
"0R02-00313","Grant County Transportation District","Annual Total",33389,0
"0R02-00319","Hood River County Transportation District","Annual Total",28866,0
"0R02-00321","Yamhill County","Annual Total",281048,0
"0R02-00323","Malheur Council on Aging and Community Services","Annual Total",36223,0
"0R02-00325","MTR Western, LLC","Annual Total",102509,0
"0R02-00330","City of Canby","Annual Total",75038,0
"0R02-00331","Sunset Empire Transportation District","Annual Total",227340,0
"0R02-00339","Basin Transit Service","Annual Total",297851,0
"0R02-00343","Community Connection of Northeast Oregon","Annual Total",80820,0
"0R02-00348","Senior Citizens of Sweet Home, Inc.","Annual Total",78678,0
"0R02-00351","Douglas County","Annual Total",138061,0
"0R02-00359","City of Pendleton","Annual Total",48462,0
"0R02-00360","City of Woodburn","Annual Total",35672,0
"0R02-00362","TAC Transportation","Annual Total",9092,0
"0R02-00363","Clackamas County Social Services","Annual Total",117558,0
"0R02-00374","Harney County","Annual Total",39291,0
"0R02-00375","Columbia County","Annual Total",102364,0
"0R02-00377","City of Lebanon","Annual Total",20272,0
"0R02-00389","City of Sandy","Annual Total",129776,0
"0R02-00395","The Shuttle, Inc.","Annual Total",8855,0
"0R02-00396","Mid-Columbia Economic Development District","Annual Total",21270,0
"0R03-00033","Senior Services of Snohomish County","Annual Total",21292,0
"0R03-00280","Central Washington Airporter","Annual Total",5299,0
"0R03-00282","Garfield County Transportation Program","Annual Total",9555,0
"0R03-00285","Thurston Regional Planning Council","Annual Total",40768,0
"0R03-00286","Rural Resources Community Action","Annual Total",23417,0
"0R03-00287","People for People Moses Lake","Annual Total",28066,0
"0R03-00289","Olympic Bus Lines, Inc.","Annual Total",7083,0
"0R03-00291","Northwestern Stagelines Inc","Annual Total",4184,0
"0R03-00294","Pullman Transit","Annual Total",1385831,0
"0R03-00297","People for People Yakima","Annual Total",56346,0
"0R03-00298","Island Transit","Annual Total",798022,0
"0R03-00299","Klickitat County Senior Services","Annual Total",17023,0
"0R03-00303","Clallam Transit System","Annual Total",845438,0
"0R03-00309","Grant County Transportation Authority","Annual Total",318069,0
"0R03-00312","Hopesource","Annual Total",104438,0
"0R03-00314","Grays Harbor Transit","Annual Total",925802,0
"0R03-00315","Mason County Transportation Authority","Annual Total",458122,0
"0R03-00316","Jefferson Transit","Annual Total",271044,0
"0R03-00317","Mt Si Senior Center","Annual Total",22518,0
"0R03-00322","Pacific Transit","Annual Total",113650,0
"0R03-00332","Okanogan County Transportation & Nutrition","Annual Total",46057,0
"0R03-00336","Skamania County Senior Services","Annual Total",21678,0
"0R03-00364","Twin Transit","Annual Total",226948,0
"0R03-00366","White Pass Community Services Coalition","Annual Total",7583,0
"0R03-00368","Lower Columbia Community Action Council","Annual Total",22090,0
"0R03-00371","Wahkiakum County Health & Human Services","Annual Total",12689,0
"0R03-00383","Columbia County Public Transportation","Annual Total",53830,0
"0R03-00386","Special Mobility Services","Annual Total",13340,0
"0R03-00397","Central Washington Airporter (Walla Walla, Franklin)","Annual Total",5964,0
"0R03-00398","Coastal Community Action Program","Annual Total",4997,0
"0R03-00405","Okanogan Transit","Annual Total",57556,0
