"State_name","URBANIZED_AREA_POP_CEN_2010","URBAN_CLUSTER_POP_CEN_2010","RURAL_POP_CEN_2010","Tot_Population_CEN_2010","Sngl_Prns_HHD_CEN_2010","Tot_Prns_in_HHD_CEN_2010","Tot_Housing_Units_CEN_2010","Tot_Occp_Units_ACS_14_18","Tot_Occp_Units_CEN_2010","Single_Unit_ACS_14_18","MLT_U2_9_STRC_ACS_14_18","MLT_U10p_ACS_14_18","Mobile_Homes_ACS_14_18","Crowd_Occp_U_ACS_14_18","Tot_Housing_Units_ACS_14_18"
"Alabama",4650608,993000,3915864,9559472,1033392,9327840,4343706,3720538,3767582,3148450,415902,323344,596412,64076,4488924
"Alaska",631512,306274,482676,1420462,132146,1367758,613934,506924,516116,442794,110212,47088,29710,33694,630772
"Arizona",10235566,1245752,1302716,12784034,1242016,12505266,5689052,5048600,4761980,4087124,520240,690604,622168,226124,5941870
"Arkansas",2305674,969504,2556658,5831836,621584,5673974,2632598,2304350,2294168,1942980,268508,174320,334312,61590,2724080
"California",66855378,3891834,3760700,74507912,5858884,72868280,27360162,25930870,25154996,18298572,3963714,4836872,1040524,2130060,28169648
"Colorado",7730942,934580,1392870,10058392,1101588,9826636,4425796,4226774,3945736,3278260,446940,781064,194494,111076,4704404
"Connecticut",6063960,225924,858310,7148194,747296,6911890,2975782,2734748,2742174,1946584,677754,376050,23468,50800,3024610
"Delaware",1233964,261934,299970,1795868,174992,1747042,811770,715530,684594,635412,64154,85676,70712,11800,856502
"District of Columbia",1203446,0,0,1203446,234862,1123404,593438,562644,533414,228308,106062,288078,460,20310,623090
"Florida",32879872,1399816,3322932,37602620,4043562,36759202,17979160,15243520,14841604,11303108,2085236,3610422,1674666,458706,18697378
"Georgia",12668542,1875760,4831004,19375306,1818948,18868908,8177602,7418976,7171168,5956456,837102,914818,766898,168666,8482006
"Hawaii",1944150,556828,219624,2720602,212350,2634842,1039016,913564,910676,671472,139640,264354,2152,82754,1078106
"Idaho",1583686,629054,922424,3135164,275570,3077262,1335592,1236662,1158816,1084128,135990,82172,118632,32454,1423462
"Illinois",20521342,2185764,2954158,25661264,2692624,25057718,10593430,9660076,9673944,6903244,1980094,1544748,263286,243242,10694536
"Indiana",7673168,1721032,3573404,12967604,1343840,12593758,5591082,5107636,5004308,4389824,617092,454456,278312,89360,5741340
