"Station (alphabetical by borough)","2013","2014","2015","2016","2017","2018","2017-2018 Change","...9","2018 Rank","Borough","na"
"138 St-Grand Concourse ",3222,3416,3480,3532,3486,3166,-320,-0.092,363,"The Bronx",FALSE
"149 St-Grand Concourse ",14380,14576,14465,14460,14063,13081,-982,-0.07,116,"The Bronx",FALSE
"161 St-Yankee Stadium ",26972,27541,27020,26947,26674,26034,-640,-0.024,43,"The Bronx",FALSE
"167 St ",9904,9793,9923,9972,9466,9398,-68,-0.007,167,"The Bronx",FALSE
"167 St ",9374,9906,10166,10439,10223,6342,-3881,-0.38,242,"The Bronx",FALSE
"170 St ",9525,9403,9507,9514,8910,8140,-770,-0.086,187,"The Bronx",FALSE
"170 St ",6563,6988,7101,7225,7089,7913,824,0.116,191,"The Bronx",FALSE
"174 St ",7339,7599,7619,7690,7466,6751,-715,-0.096,228,"The Bronx",FALSE
"174-175 Sts ",4885,5301,5312,5519,5475,3221,-2254,-0.412,356,"The Bronx",FALSE
"176 St ",5905,5914,6160,6378,6232,5807,-425,-0.068,259,"The Bronx",FALSE
"182-183 Sts ",4554,4813,5020,5177,4990,4752,-238,-0.048,296,"The Bronx",FALSE
"183 St ",6360,6356,6372,6443,6271,5754,-517,-0.082,262,"The Bronx",FALSE
"219 St ",3483,3544,3529,3423,3439,3335,-104,-0.03,350,"The Bronx",FALSE
"225 St ",4479,4593,4591,4408,4340,3961,-379,-0.087,324,"The Bronx",FALSE
"231 St ",8951,9372,9596,9749,9774,10287,513,0.052,154,"The Bronx",FALSE
"233 St ",5473,5701,5632,5438,5138,4864,-274,-0.053,291,"The Bronx",FALSE
"238 St ",3598,3934,4068,4350,4370,3225,-1145,-0.262,354,"The Bronx",FALSE
"3 Av-138 St ",7667,7951,7994,8008,8114,7801,-313,-0.039,192,"The Bronx",FALSE
"3 Av-149 St ",24001,25161,24813,24808,24228,22357,-1871,-0.077,58,"The Bronx",FALSE
"Allerton Av ",5526,5737,5779,5530,5403,5144,-259,-0.048,283,"The Bronx",FALSE
"Baychester Av ",4177,4196,4090,4064,3846,3551,-295,-0.077,340,"The Bronx",FALSE
"Bedford Park Blvd ",6303,6645,7046,7236,7066,6419,-647,-0.092,237,"The Bronx",FALSE
"Bedford Park Blvd-Lehman College ",6201,6089,6040,5912,5649,5170,-479,-0.085,282,"The Bronx",FALSE
"Bronx Park East ",2959,3005,2868,2785,2676,2498,-178,-0.067,382,"The Bronx",FALSE
"Brook Av ",6186,6312,6244,6226,6118,6040,-78,-0.013,252,"The Bronx",FALSE
"Buhre Av ",3718,2155,2237,3568,3701,3744,43,0.012,332,"The Bronx",FALSE
"Burke Av ",3612,3672,3644,3550,3466,3234,-232,-0.067,352,"The Bronx",FALSE
"Burnside Av ",11560,11538,11551,11479,11079,10231,-848,-0.077,156,"The Bronx",FALSE
"Castle Hill Av ",5632,4938,7174,6895,6756,6483,-273,-0.04,234,"The Bronx",FALSE
"Cypress Av ",3842,3984,3974,4099,3972,3651,-321,-0.081,336,"The Bronx",FALSE
"East 143 St-St Mary's St ",911,927,989,1043,953,1019,66,0.069,416,"The Bronx",FALSE
"East 149 St ",4580,4619,4647,4861,4899,4842,-57,-0.012,292,"The Bronx",FALSE
"East 180 St ",7003,7489,7587,7697,7691,7175,-516,-0.067,213,"The Bronx",FALSE
"Eastchester-Dyre Av ",4948,4948,4845,4769,4647,4506,-141,-0.03,309,"The Bronx",FALSE
"Elder Av",6377,6496,6543,6642,6605,6323,-282,-0.043,243,"The Bronx",FALSE
"Fordham Rd ",12558,12231,11982,11957,11503,10395,-1108,-0.096,153,"The Bronx",FALSE
"Fordham Rd ",11878,12363,12145,12208,12054,11361,-693,-0.057,134,"The Bronx",FALSE
"Freeman St ",4762,4867,4899,5055,4984,4451,-533,-0.107,313,"The Bronx",FALSE
"Gun Hill Rd ",7339,7752,7790,7714,7639,6930,-709,-0.093,223,"The Bronx",FALSE
"Gun Hill Rd ",6002,6038,5880,5886,5654,5362,-292,-0.052,274,"The Bronx",FALSE
"Hunts Point Av ",10144,10111,10484,10651,10646,10460,-186,-0.017,150,"The Bronx",FALSE
"Intervale Av ",3420,3571,3472,3423,3377,3130,-247,-0.073,364,"The Bronx",FALSE
"Jackson Av ",5432,5631,5705,5752,5766,5288,-478,-0.083,278,"The Bronx",FALSE
"Kingsbridge Rd ",10431,10231,10107,9998,9783,8992,-791,-0.081,171,"The Bronx",FALSE
"Kingsbridge Rd ",7422,7975,8006,8144,8237,7922,-315,-0.038,190,"The Bronx",FALSE
"Longwood Av ",3494,3531,3482,3517,3518,3395,-123,-0.035,346,"The Bronx",FALSE
"Middletown Rd ",1514,2273,2726,2066,2102,2036,-66,-0.031,395,"The Bronx",FALSE
"Morris Park ",2210,2253,2319,2487,2527,2417,-110,-0.044,385,"The Bronx",FALSE
"Morrison Av-Soundview ",6588,6669,6628,6755,6742,6361,-381,-0.057,239,"The Bronx",FALSE
"Mosholu Pkwy ",9588,9459,9252,9135,8770,8195,-575,-0.066,185,"The Bronx",FALSE
"Mt Eden Av ",5995,5891,5817,5770,5512,5337,-175,-0.032,276,"The Bronx",FALSE
