"SAEMP25N Total Full-Time and Part-Time Employment by NAICS Industry 1/"
"(Number of jobs)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2018"
"00000","United States","","Employment by place of work",""
"00000","United States","10","Total employment (number of jobs)",200746000
"00000","United States","","By type",""
"00000","United States","20","  Wage and salary employment",154375000
"00000","United States","40","  Proprietors employment",46371000
"00000","United States","50","    Farm proprietors employment",1790000
"00000","United States","60","    Nonfarm proprietors employment 2/",44581000
"00000","United States","","By industry",""
"00000","United States","70","  Farm employment",2604000
"00000","United States","80","  Nonfarm employment",198142000
"00000","United States","90","    Private nonfarm employment",173599000
"00000","United States","100","      Forestry, fishing, and related activities",969400
"00000","United States","101","        Forestry and logging",117600
"00000","United States","102","        Fishing, hunting and trapping",96200
"00000","United States","103","        Support activities for agriculture and forestry",755600
"00000","United States","200","      Mining, quarrying, and oil and gas extraction",1353700
"00000","United States","201","        Oil and gas extraction",674300
"00000","United States","202","        Mining (except oil and gas)",271600
"00000","United States","203","        Support activities for mining",407800
"00000","United States","300","      Utilities",589700
"00000","United States","400","      Construction",10973300
"00000","United States","401","        Construction of buildings",2410100
"00000","United States","402","        Heavy and civil engineering construction",1238600
"00000","United States","403","        Specialty trade contractors",7324600
"00000","United States","500","      Manufacturing",13501300
"00000","United States","510","        Durable goods manufacturing",8458100
"00000","United States","511","          Wood product manufacturing",466300
"00000","United States","512","          Nonmetallic mineral product manufacturing",456600
"00000","United States","513","          Primary metal manufacturing",387500
"00000","United States","514","          Fabricated metal product manufacturing",1531900
"00000","United States","515","          Machinery manufacturing",1177200
"00000","United States","516","          Computer and electronic product manufacturing",1084500
"00000","United States","517","          Electrical equipment, appliance, and component manufacturing",424800
"00000","United States","518","          Motor vehicles, bodies and trailers, and parts manufacturing",1006100
"00000","United States","519","          Other transportation equipment manufacturing",725600
"00000","United States","521","          Furniture and related product manufacturing",436600
"00000","United States","522","          Miscellaneous manufacturing",761000
"00000","United States","530","        Nondurable goods manufacturing",5043200
"00000","United States","531","          Food manufacturing",1709200
"00000","United States","532","          Beverage and tobacco product manufacturing",298600
"00000","United States","533","          Textile mills",115900
"00000","United States","534","          Textile product mills",124100
"00000","United States","535","          Apparel manufacturing",157500
"00000","United States","536","          Leather and allied product manufacturing",40200
"00000","United States","537","          Paper manufacturing",367300
"00000","United States","538","          Printing and related support activities",489000
"00000","United States","539","          Petroleum and coal products manufacturing",121200
"00000","United States","541","          Chemical manufacturing",874100
"00000","United States","542","          Plastics and rubber products manufacturing",746100
"00000","United States","600","      Wholesale trade",6422200
"00000","United States","700","      Retail trade",19307500
"00000","United States","701","        Motor vehicle and parts dealers",2252900
"00000","United States","702","        Furniture and home furnishings stores",545400
"00000","United States","703","        Electronics and appliance stores",513700
"00000","United States","704","        Building material and garden equipment and supplies dealers",1374300
"00000","United States","705","        Food and beverage stores",3265600
"00000","United States","706","        Health and personal care stores",1245900
"00000","United States","707","        Gasoline stations",973500
"00000","United States","708","        Clothing and clothing accessories stores",1600700
"00000","United States","709","        Sporting goods, hobby, musical instrument, and book stores",751000
"00000","United States","711","        General merchandise stores",3152100
"00000","United States","712","        Miscellaneous store retailers",1619200
"00000","United States","713","        Nonstore retailers",2013200
"00000","United States","800","      Transportation and warehousing",9364300
"00000","United States","801","        Air transportation",573100
"00000","United States","802","        Rail transportation",182800
"00000","United States","803","        Water transportation",75900
"00000","United States","804","        Truck transportation",2308300
"00000","United States","805","        Transit and ground passenger transportation",2410700
"00000","United States","806","        Pipeline transportation",55600
"00000","United States","807","        Scenic and sightseeing transportation",58800
"00000","United States","808","        Support activities for transportation",808000
"00000","United States","809","        Couriers and messengers",1340900
"00000","United States","811","        Warehousing and storage",1550200
"00000","United States","900","      Information",3460100
"00000","United States","901","        Publishing industries (except Internet)",911300
"00000","United States","902","        Motion picture and sound recording industries",529000
"00000","United States","903","        Broadcasting (except Internet)",328500
"00000","United States","904","        Internet publishing and broadcasting 3/","(NA)"
"00000","United States","905","        Telecommunications",933300
"00000","United States","906","        Data processing, hosting, and related services",424600
"00000","United States","907","        Other information services 3/",333400
"00000","United States","1000","      Finance and insurance",10394600
"00000","United States","1001","        Monetary Authorities-central bank",20000
"00000","United States","1002","        Credit intermediation and related activities",2822800
