GIDTR,State,State_name,County,County_name,Tract,Tot_Housing_Units_CEN_2010,Tot_Housing_Units_ACS_12_16,Tot_Housing_Units_ACSMOE_12_16,Tot_Occp_Units_CEN_2010,Tot_Occp_Units_ACS_12_16,Tot_Occp_Units_ACSMOE_12_16,Tot_Vacant_Units_CEN_2010,Tot_Vacant_Units_ACS_12_16,Tot_Vacant_Units_ACSMOE_12_16,Renter_Occp_HU_CEN_2010,Renter_Occp_HU_ACS_12_16,Renter_Occp_HU_ACSMOE_12_16,Owner_Occp_HU_CEN_2010,Owner_Occp_HU_ACS_12_16,Owner_Occp_HU_ACSMOE_12_16,Single_Unit_ACS_12_16,Single_Unit_ACSMOE_12_16,MLT_U2_9_STRC_ACS_12_16,MLT_U2_9_STRC_ACSMOE_12_16,MLT_U10p_ACS_12_16,MLT_U10p_ACSMOE_12_16,Mobile_Homes_ACS_12_16,Mobile_Homes_ACSMOE_12_16,Crowd_Occp_U_ACS_12_16,Crowd_Occp_U_ACSMOE_12_16,Occp_U_NO_PH_SRVC_ACS_12_16,Occp_U_NO_PH_SRVC_ACSMOE_12_16,No_Plumb_ACS_12_16,No_Plumb_ACSMOE_12_16,Recent_Built_HU_ACS_12_16,Recent_Built_HU_ACSMOE_12_16,Med_House_Value_ACS_12_16,Med_House_Value_ACSMOE_12_16,Aggr_House_Value_ACS_12_16,Aggr_House_Value_ACSMOE_12_16
09001010101,09,Connecticut,001,Fairfield County,010101,1778,1600,84,1514,1348,106,264,252,106,236,246,81,1278,1102,91,1510,98,63,58,27,33,0,12,0,12,22,28,12,18,0,12,1494000,234636,2682460200,525863644
09001010102,09,Connecticut,001,Fairfield County,010102,1653,1554,71,1418,1293,100,235,261,93,142,138,71,1276,1155,99,1480,86,74,60,0,12,0,12,0,12,0,12,25,40,7,11,2000001,,4370732700,549561598
09001010201,09,Connecticut,001,Fairfield County,010201,1156,1103,53,1030,991,75,126,112,64,182,227,74,848,764,71,1020,71,83,51,0,12,0,12,0,12,0,12,0,12,0,12,2000001,,2843954100,373650881
09001010202,09,Connecticut,001,Fairfield County,010202,2004,1915,82,1876,1856,99,128,59,63,435,464,110,1441,1392,121,1637,123,254,103,24,22,0,17,15,24,0,17,0,17,0,17,1459900,122915,2282465400,285999827
09001010300,09,Connecticut,001,Fairfield County,010300,1715,1615,85,1451,1435,111,264,180,96,394,404,113,1057,1031,120,1317,115,255,102,34,29,9,14,22,26,7,16,28,45,0,12,2000001,,3845847900,646497987
09001010400,09,Connecticut,001,Fairfield County,010400,2343,2253,78,2163,2031,131,180,222,122,670,624,183,1493,1407,198,1636,213,442,165,131,64,44,64,11,25,0,17,0,17,0,17,666900,36278,924490500,135735876
09001010500,09,Connecticut,001,Fairfield County,010500,2724,2608,91,2408,2420,138,316,188,121,1739,1852,190,669,568,126,666,148,1495,278,447,179,0,17,79,72,62,51,0,17,0,17,585700,50928,308430900,81727277
09001010600,09,Connecticut,001,Fairfield County,010600,1252,1151,46,1085,1014,68,167,137,82,679,646,83,406,368,73,191,71,370,108,590,112,0,12,0,12,16,22,17,28,0,12,706400,136613,406330000,183202970
09001010700,09,Connecticut,001,Fairfield County,010700,1873,1835,59,1702,1696,99,171,139,82,838,892,118,864,804,120,776,133,600,135,459,116,0,12,45,53,16,18,0,12,0,12,681900,62476,982700900,240710176
09001010800,09,Connecticut,001,Fairfield County,010800,1434,1370,60,1350,1257,83,84,113,74,399,383,90,951,874,97,1061,125,237,97,72,47,0,12,10,19,16,19,9,14,0,12,885500,51330,818535800,115992903
09001010900,09,Connecticut,001,Fairfield County,010900,1983,1912,62,1853,1821,67,130,91,61,446,422,111,1407,1399,118,1566,101,145,60,192,61,9,15,37,38,24,22,0,17,10,16,835000,50137,1313783500,188579122
09001011000,09,Connecticut,001,Fairfield County,011000,1911,1797,67,1778,1700,75,133,97,54,304,250,70,1474,1450,97,1621,86,43,31,133,56,0,17,0,17,0,17,21,32,23,21,1731900,199851,3285769200,351960803
09001011100,09,Connecticut,001,Fairfield County,011100,1610,1573,42,1537,1395,81,73,178,79,214,146,71,1323,1249,105,1460,81,23,21,90,52,0,12,0,12,10,19,19,22,39,31,1924100,158160,2702630900,318098325
09001011200,09,Connecticut,001,Fairfield County,011200,802,764,36,652,608,59,150,156,61,178,114,45,474,494,54,565,73,129,47,55,34,15,24,0,12,0,12,4,7,0,12,2000001,,1886142100,355707796
09001011300,09,Connecticut,001,Fairfield County,011300,1393,1323,62,1259,1248,70,134,75,51,735,726,111,524,522,96,603,108,653,118,67,31,0,12,69,48,0,12,14,21,19,20,620700,58025,547335500,194106209
09001020100,09,Connecticut,001,Fairfield County,020100,2511,2899,95,2091,2276,174,420,623,172,1833,2037,169,258,239,81,74,74,248,139,2577,217,0,12,84,61,39,40,34,54,100,51,306500,64997,107881000,64952832
09001020200,09,Connecticut,001,Fairfield County,020200,1372,1325,43,1296,1203,82,76,122,78,87,23,18,1209,1180,83,1317,46,0,12,0,12,8,14,0,12,0,12,25,39,0,12,853400,68596,1327989000,200462524
09001020300,09,Connecticut,001,Fairfield County,020300,2587,2511,53,2477,2433,75,110,78,63,163,202,110,2314,2231,134,2511,56,0,17,0,17,0,17,0,17,12,25,0,17,0,17,796100,38062,1831547300,155838493
09001020400,09,Connecticut,001,Fairfield County,020400,1330,1287,27,1276,1225,55,54,62,50,78,72,37,1198,1153,61,1257,44,11,18,19,30,0,12,38,39,0,12,0,12,0,12,711900,36148,924695500,125649318
09001020500,09,Connecticut,001,Fairfield County,020500,1830,1798,41,1747,1715,69,83,83,59,202,221,96,1545,1494,102,1702,71,0,12,96,65,0,12,0,12,32,34,27,30,14,20,748500,57591,1411279700,216985767
09001020600,09,Connecticut,001,Fairfield County,020600,1802,1777,45,1736,1691,77,66,86,62,199,162,70,1537,1529,91,1733,76,24,41,8,21,0,17,34,32,20,31,20,26,0,17,567300,18574,830189400,58532858
09001020700,09,Connecticut,001,Fairfield County,020700,1691,1649,38,1632,1597,60,59,52,51,289,290,93,1343,1307,97,1492,78,63,45,94,50,0,12,0,12,14,21,21,34,0,12,608600,17902,814707800,80653216
09001020800,09,Connecticut,001,Fairfield County,020800,999,985,26,976,963,34,23,22,24,71,39,27,905,924,42,980,56,0,12,5,14,0,12,0,12,0,12,0,12,0,12,604100,13588,558335600,63269124
09001020900,09,Connecticut,001,Fairfield County,020900,2180,2145,49,2078,2103,73,102,42,67,768,756,189,1310,1347,174,1105,204,365,143,675,189,0,17,76,71,14,29,0,17,0,17,382000,35276,672025100,175002595
